filename,value,digits,length,width,height,box
15455.png,619,"[6, 1, 9]",3,104,69,"[12, 10, 79, 61]"
15456.png,56,"[5, 6]",2,88,63,"[8, 1, 66, 56]"
15457.png,1039,"[1, 0, 3, 9]",4,72,48,"[9, 6, 51, 39]"
15458.png,94,"[9, 4]",2,131,58,"[42, 8, 93, 53]"
15459.png,253,"[2, 5, 3]",3,157,71,"[24, 11, 112, 60]"
15460.png,95,"[9, 5]",2,91,63,"[10, 6, 70, 59]"
15461.png,3,[3],1,67,36,"[27, 7, 40, 29]"
15462.png,529,"[5, 2, 9]",3,139,76,"[15, 9, 103, 66]"
15463.png,23,"[2, 3]",2,46,40,"[6, 5, 36, 33]"
15464.png,22,"[2, 2]",2,81,60,"[17, 5, 56, 50]"
15465.png,233,"[2, 3, 3]",3,54,27,"[5, 2, 38, 25]"
15466.png,358,"[3, 5, 8]",3,159,70,"[17, 6, 125, 62]"
15467.png,4,[4],1,68,36,"[27, 7, 40, 30]"
15468.png,307,"[3, 0, 7]",3,81,31,"[10, 5, 62, 26]"
15469.png,333,"[3, 3, 3]",3,101,65,"[17, 16, 74, 57]"
15470.png,27,"[2, 7]",2,96,36,"[34, 8, 62, 29]"
15471.png,39,"[3, 9]",2,54,43,"[7, 11, 41, 34]"
15472.png,109,"[1, 0, 9]",3,160,93,"[34, 22, 102, 69]"
15473.png,9,[9],1,117,58,"[50, 6, 77, 48]"
15474.png,1152,"[1, 1, 5, 2]",4,49,27,"[7, 3, 39, 24]"
15475.png,30,"[3, 0]",2,70,45,"[17, 8, 46, 39]"
15476.png,81,"[8, 1]",2,98,90,"[16, 12, 63, 76]"
15477.png,6,[6],1,93,44,"[44, 8, 60, 32]"
15478.png,178,"[1, 7, 8]",3,192,104,"[61, 79, 114, 104]"
15479.png,2622,"[2, 6, 2, 2]",4,122,56,"[15, 1, 96, 52]"
15480.png,106,"[1, 0, 6]",3,92,37,"[31, 7, 61, 30]"
15481.png,34,"[3, 4]",2,59,55,"[14, 13, 41, 43]"
15482.png,27,"[2, 7]",2,76,29,"[22, 2, 58, 27]"
15483.png,22,"[2, 2]",2,60,39,"[9, 2, 45, 35]"
15484.png,397,"[3, 9, 7]",3,69,37,"[10, 6, 45, 31]"
15485.png,515,"[5, 1, 5]",3,108,62,"[15, 6, 80, 56]"
15486.png,70,"[7, 0]",2,87,53,"[13, 6, 55, 45]"
15487.png,115,"[1, 1, 5]",3,67,44,"[17, 12, 49, 36]"
15488.png,30,"[3, 0]",2,262,142,"[98, 16, 166, 128]"
15489.png,46,"[4, 6]",2,158,110,"[18, 20, 106, 92]"
15490.png,28,"[2, 8]",2,57,65,"[10, 13, 42, 55]"
15491.png,2,[2],1,39,48,"[8, 10, 23, 44]"
15492.png,42,"[4, 2]",2,159,69,"[53, 10, 112, 59]"
15493.png,51,"[5, 1]",2,204,142,"[41, 7, 147, 125]"
15494.png,48,"[4, 8]",2,84,35,"[32, 7, 52, 29]"
15495.png,66,"[6, 6]",2,49,40,"[10, 9, 36, 33]"
15496.png,42,"[4, 2]",2,115,57,"[27, 10, 70, 47]"
15497.png,32,"[3, 2]",2,128,92,"[29, 22, 87, 73]"
15498.png,410,"[4, 1, 0]",3,74,46,"[18, 10, 57, 38]"
15499.png,126,"[1, 2, 6]",3,83,55,"[8, 9, 61, 47]"
15500.png,428,"[4, 2, 8]",3,51,42,"[10, 1, 40, 39]"
15501.png,74,"[7, 4]",2,157,119,"[18, 6, 117, 101]"
15502.png,29,"[2, 9]",2,46,32,"[5, 2, 34, 30]"
15503.png,45,"[4, 5]",2,80,57,"[16, 7, 57, 42]"
15504.png,68,"[6, 8]",2,103,90,"[13, 10, 76, 78]"
15505.png,210,"[2, 1, 0]",3,73,64,"[15, 18, 51, 45]"
15506.png,151,"[1, 5, 1]",3,149,107,"[14, 13, 121, 98]"
15507.png,417,"[4, 1, 7]",3,156,84,"[15, 12, 124, 70]"
15508.png,73,"[7, 3]",2,85,41,"[29, 4, 60, 35]"
15509.png,32,"[3, 2]",2,107,78,"[14, 5, 84, 63]"
15510.png,356,"[3, 5, 6]",3,78,49,"[0, 1, 56, 48]"
15511.png,470,"[4, 7, 0]",3,165,50,"[48, 9, 84, 40]"
15512.png,18,"[1, 8]",2,84,69,"[9, 14, 56, 56]"
15513.png,4,[4],1,104,56,"[44, 10, 63, 45]"
15514.png,165,"[1, 6, 5]",3,124,58,"[10, 6, 90, 51]"
15515.png,238,"[2, 3, 8]",3,80,44,"[10, 2, 57, 38]"
15516.png,32,"[3, 2]",2,52,23,"[15, 1, 38, 22]"
15517.png,62,"[6, 2]",2,96,42,"[37, 11, 60, 35]"
15518.png,919,"[9, 1, 9]",3,110,66,"[17, 11, 80, 57]"
15519.png,83,"[8, 3]",2,69,35,"[22, 13, 43, 36]"
15520.png,35,"[3, 5]",2,57,42,"[8, 7, 41, 37]"
15521.png,65,"[6, 5]",2,92,75,"[16, 8, 67, 68]"
15522.png,541,"[5, 4, 1]",3,42,37,"[10, 9, 37, 33]"
15523.png,273,"[2, 7, 3]",3,134,82,"[13, 10, 105, 73]"
15524.png,60,"[6, 0]",2,54,42,"[6, 1, 44, 39]"
15525.png,145,"[1, 4, 5]",3,59,49,"[10, 10, 39, 38]"
15526.png,75,"[7, 5]",2,82,35,"[32, 7, 50, 29]"
15527.png,55,"[5, 5]",2,120,37,"[68, 2, 88, 32]"
15528.png,35,"[3, 5]",2,75,51,"[7, 5, 59, 44]"
15529.png,78,"[7, 8]",2,81,36,"[29, 8, 54, 30]"
15530.png,166,"[1, 6, 6]",3,137,92,"[15, 11, 100, 77]"
15531.png,862,"[8, 6, 2]",3,48,40,"[5, 6, 38, 37]"
15532.png,12,"[1, 2]",2,80,34,"[27, 7, 52, 29]"
15533.png,25,"[2, 5]",2,91,41,"[27, 4, 66, 37]"
15534.png,56,"[5, 6]",2,156,49,"[89, 15, 117, 43]"
15535.png,99,"[9, 9]",2,115,111,"[21, 20, 81, 91]"
15536.png,413,"[4, 1, 3]",3,133,75,"[2, 3, 115, 68]"
15537.png,255,"[2, 5, 5]",3,129,71,"[28, 6, 87, 56]"
15538.png,350,"[3, 5, 0]",3,89,44,"[12, 1, 64, 43]"
15539.png,672,"[6, 7, 2]",3,73,49,"[10, 11, 51, 38]"
15540.png,21,"[2, 1]",2,184,71,"[65, 18, 124, 63]"
15541.png,155,"[1, 5, 5]",3,130,57,"[33, 16, 79, 42]"
15542.png,8,[8],1,66,36,"[26, 5, 40, 30]"
15543.png,150,"[1, 5, 0]",3,96,65,"[17, 1, 72, 61]"
15544.png,1012,"[1, 0, 1, 2]",4,89,58,"[9, 6, 66, 54]"
15545.png,339,"[3, 3, 9]",3,44,27,"[5, 1, 34, 25]"
15546.png,36,"[3, 6]",2,66,61,"[-1, 7, 47, 54]"
15547.png,1,[1],1,116,63,"[9, 12, 23, 55]"
15548.png,42,"[4, 2]",2,89,63,"[22, 18, 58, 47]"
15549.png,830,"[8, 3, 0]",3,94,57,"[14, 15, 64, 46]"
15550.png,72,"[7, 2]",2,69,55,"[14, 14, 50, 41]"
15551.png,471,"[4, 7, 1]",3,62,28,"[12, 5, 36, 23]"
15552.png,222,"[2, 2, 2]",3,152,63,"[24, 8, 112, 56]"
15553.png,286,"[2, 8, 6]",3,68,44,"[6, 4, 52, 40]"
15554.png,68,"[6, 8]",2,121,78,"[20, 11, 84, 63]"
15555.png,1850,"[1, 8, 5, 0]",4,294,126,"[44, 8, 199, 139]"
15556.png,130,"[1, 3, 0]",3,117,77,"[12, 2, 85, 73]"
15557.png,221,"[2, 2, 1]",3,130,67,"[29, 9, 79, 50]"
15558.png,19,"[1, 9]",2,87,40,"[31, 9, 58, 31]"
15559.png,97,"[9, 7]",2,100,64,"[10, 8, 74, 62]"
15560.png,329,"[3, 2, 9]",3,113,42,"[39, 12, 75, 33]"
15561.png,265,"[2, 6, 5]",3,81,68,"[13, 13, 62, 50]"
15562.png,426,"[4, 2, 6]",3,63,21,"[12, 6, 48, 22]"
15563.png,138,"[1, 3, 8]",3,107,75,"[9, 8, 87, 69]"
15564.png,575,"[5, 7, 5]",3,45,26,"[6, 1, 33, 24]"
15565.png,246,"[2, 4, 6]",3,42,23,"[4, 2, 33, 20]"
15566.png,961,"[9, 6, 1]",3,190,146,"[37, 21, 139, 119]"
15567.png,123,"[1, 2, 3]",3,148,90,"[14, 1, 112, 89]"
15568.png,23,"[2, 3]",2,96,41,"[32, 8, 66, 31]"
15569.png,679,"[6, 7, 9]",3,202,119,"[22, 17, 166, 105]"
15570.png,246,"[2, 4, 6]",3,167,113,"[22, 22, 125, 90]"
15571.png,54,"[5, 4]",2,66,40,"[9, 4, 52, 37]"
15572.png,165,"[1, 6, 5]",3,72,41,"[8, 7, 53, 36]"
15573.png,766,"[7, 6, 6]",3,78,48,"[14, 5, 59, 42]"
15574.png,45,"[4, 5]",2,130,50,"[51, 14, 85, 42]"
15575.png,2,[2],1,65,40,"[26, 4, 39, 38]"
15576.png,315,"[3, 1, 5]",3,39,26,"[3, 2, 35, 24]"
15577.png,72,"[7, 2]",2,88,68,"[15, 11, 55, 62]"
15578.png,144,"[1, 4, 4]",3,90,62,"[19, 15, 66, 44]"
15579.png,4440,"[4, 4, 4, 0]",4,88,45,"[9, 5, 61, 45]"
15580.png,176,"[1, 7, 6]",3,82,57,"[10, 8, 60, 49]"
15581.png,10,"[1, 0]",2,54,26,"[16, 2, 39, 24]"
15582.png,1239,"[1, 2, 3, 9]",4,168,75,"[18, 10, 112, 64]"
15583.png,737,"[7, 3, 7]",3,117,83,"[16, 9, 93, 71]"
15584.png,435,"[4, 3, 5]",3,76,45,"[13, 8, 47, 33]"
15585.png,668,"[6, 6, 8]",3,121,69,"[14, 10, 92, 60]"
15586.png,28,"[2, 8]",2,40,21,"[2, 2, 25, 20]"
15587.png,810,"[8, 1, 0]",3,58,43,"[6, 4, 41, 42]"
15588.png,262,"[2, 6, 2]",3,107,64,"[14, 12, 77, 56]"
15589.png,60,"[6, 0]",2,189,129,"[47, 16, 96, 123]"
15590.png,71,"[7, 1]",2,101,47,"[35, 8, 67, 40]"
15591.png,405,"[4, 0, 5]",3,101,33,"[25, 3, 73, 31]"
15592.png,145,"[1, 4, 5]",3,77,56,"[14, 6, 55, 50]"
15593.png,303,"[3, 0, 3]",3,61,57,"[2, 11, 43, 43]"
15594.png,196,"[1, 9, 6]",3,93,46,"[17, 3, 72, 39]"
15595.png,62,"[6, 2]",2,111,69,"[24, 8, 74, 62]"
15596.png,90,"[9, 0]",2,65,46,"[12, 2, 46, 36]"
15597.png,14,"[1, 4]",2,48,23,"[16, 5, 31, 20]"
15598.png,37,"[3, 7]",2,103,75,"[19, 11, 71, 63]"
15599.png,14,"[1, 4]",2,51,44,"[9, 7, 37, 36]"
15600.png,95,"[9, 5]",2,69,62,"[10, 9, 46, 51]"
15601.png,75,"[7, 5]",2,113,79,"[16, 7, 77, 67]"
15602.png,49,"[4, 9]",2,115,83,"[14, 7, 70, 73]"
15603.png,515,"[5, 1, 5]",3,140,113,"[22, 23, 104, 87]"
15604.png,8,[8],1,84,43,"[36, 13, 48, 33]"
15605.png,1260,"[1, 2, 6, 0]",4,62,29,"[5, 2, 49, 27]"
15606.png,173,"[1, 7, 3]",3,98,56,"[10, 7, 77, 48]"
15607.png,246,"[2, 4, 6]",3,55,47,"[7, 9, 40, 34]"
15608.png,512,"[5, 1, 2]",3,64,57,"[12, 8, 48, 50]"
15609.png,1341,"[1, 3, 4, 1]",4,189,110,"[29, 22, 134, 86]"
15610.png,1280,"[1, 2, 8, 0]",4,85,51,"[7, 1, 61, 39]"
15611.png,278,"[2, 7, 8]",3,53,39,"[7, 5, 42, 34]"
15612.png,53,"[5, 3]",2,51,23,"[19, 4, 33, 21]"
15613.png,45,"[4, 5]",2,122,54,"[46, 11, 78, 43]"
15614.png,116,"[1, 1, 6]",3,120,89,"[16, 12, 81, 77]"
15615.png,98,"[9, 8]",2,106,70,"[20, 13, 75, 62]"
15616.png,3212,"[3, 2, 1, 2]",4,196,128,"[21, 20, 147, 83]"
15617.png,178,"[1, 7, 8]",3,103,37,"[13, 4, 82, 36]"
15618.png,42,"[4, 2]",2,65,42,"[15, 6, 43, 34]"
15619.png,160,"[1, 6, 0]",3,86,52,"[10, 3, 63, 48]"
15620.png,188,"[1, 8, 8]",3,93,72,"[19, 18, 51, 51]"
15621.png,1,[1],1,90,71,"[37, 12, 45, 62]"
15622.png,841,"[8, 4, 1]",3,56,40,"[11, 11, 38, 29]"
15623.png,281,"[2, 8, 1]",3,85,48,"[20, 7, 58, 37]"
15624.png,145,"[1, 4, 5]",3,66,44,"[8, 8, 47, 39]"
15625.png,6,[6],1,94,57,"[37, 5, 58, 52]"
15626.png,105,"[1, 0, 5]",3,119,84,"[23, 25, 86, 61]"
15627.png,91,"[9, 1]",2,112,65,"[31, 4, 85, 61]"
15628.png,48,"[4, 8]",2,85,77,"[20, 13, 54, 55]"
15629.png,235,"[2, 3, 5]",3,91,51,"[9, 6, 70, 44]"
15630.png,690,"[6, 9, 0]",3,145,83,"[24, 12, 100, 69]"
15631.png,42,"[4, 2]",2,113,97,"[15, 14, 85, 83]"
15632.png,26,"[2, 6]",2,77,57,"[11, 14, 46, 46]"
15633.png,866,"[8, 6, 6]",3,77,34,"[18, 7, 53, 28]"
15634.png,126,"[1, 2, 6]",3,157,84,"[11, 12, 95, 70]"
15635.png,319,"[3, 1, 9]",3,49,34,"[6, 5, 42, 30]"
15636.png,83,"[8, 3]",2,119,44,"[37, 6, 84, 44]"
15637.png,145,"[1, 4, 5]",3,64,57,"[10, 12, 47, 42]"
15638.png,462,"[4, 6, 2]",3,122,81,"[28, 13, 84, 59]"
15639.png,470,"[4, 7, 0]",3,41,22,"[6, 5, 37, 20]"
15640.png,5,[5],1,33,40,"[10, 11, 22, 31]"
15641.png,29,"[2, 9]",2,106,47,"[35, 7, 66, 41]"
15642.png,1495,"[1, 4, 9, 5]",4,89,37,"[9, 2, 75, 37]"
15643.png,783,"[7, 8, 3]",3,149,85,"[23, 18, 105, 69]"
15644.png,21,"[2, 1]",2,98,51,"[38, 15, 64, 42]"
15645.png,17,"[1, 7]",2,94,76,"[17, 18, 64, 61]"
15646.png,286,"[2, 8, 6]",3,290,162,"[52, 21, 189, 139]"
15647.png,159,"[1, 5, 9]",3,67,35,"[12, 5, 46, 31]"
15648.png,25,"[2, 5]",2,169,103,"[84, 20, 143, 83]"
15649.png,145,"[1, 4, 5]",3,41,34,"[4, 7, 32, 28]"
15650.png,13376,"[1, 3, 3, 7, 6]",5,68,35,"[6, 6, 56, 28]"
15651.png,376,"[3, 7, 6]",3,61,42,"[7, 5, 45, 38]"
15652.png,129,"[1, 2, 9]",3,153,88,"[36, 11, 101, 74]"
15653.png,61,"[6, 1]",2,147,98,"[20, 22, 104, 84]"
15654.png,41,"[4, 1]",2,83,54,"[15, 9, 52, 43]"
15655.png,172,"[1, 7, 2]",3,146,104,"[15, 19, 118, 86]"
15656.png,172,"[1, 7, 2]",3,72,70,"[10, 16, 57, 54]"
15657.png,297,"[2, 9, 7]",3,71,36,"[5, 3, 59, 34]"
15658.png,422,"[4, 2, 2]",3,82,56,"[19, 1, 66, 49]"
15659.png,19,"[1, 9]",2,181,99,"[71, 38, 119, 89]"
15660.png,29,"[2, 9]",2,69,49,"[9, 8, 44, 40]"
15661.png,3,[3],1,72,37,"[29, 6, 45, 30]"
15662.png,77,"[7, 7]",2,42,20,"[12, 2, 28, 20]"
15663.png,2330,"[2, 3, 3, 0]",4,99,54,"[9, 8, 77, 45]"
15664.png,39,"[3, 9]",2,155,51,"[47, 14, 77, 38]"
15665.png,59,"[5, 9]",2,39,30,"[4, 4, 29, 27]"
15666.png,362,"[3, 6, 2]",3,86,55,"[10, 7, 74, 51]"
15667.png,44,"[4, 4]",2,46,21,"[16, 5, 31, 17]"
15668.png,259,"[2, 5, 9]",3,128,79,"[17, 1, 98, 74]"
15669.png,250,"[2, 5, 0]",3,93,47,"[5, 6, 74, 42]"
15670.png,138,"[1, 3, 8]",3,98,72,"[12, 11, 76, 61]"
15671.png,640,"[6, 4, 0]",3,66,44,"[5, 4, 51, 38]"
15672.png,63,"[6, 3]",2,65,55,"[8, 5, 47, 49]"
15673.png,59,"[5, 9]",2,89,40,"[32, 5, 55, 34]"
15674.png,66,"[6, 6]",2,120,50,"[44, 7, 77, 42]"
15675.png,255,"[2, 5, 5]",3,133,75,"[9, 11, 99, 64]"
15676.png,105,"[1, 0, 5]",3,97,67,"[12, 13, 78, 55]"
15677.png,22,"[2, 2]",2,83,35,"[30, 7, 51, 30]"
15678.png,80,"[8, 0]",2,102,85,"[19, 19, 69, 64]"
15679.png,364,"[3, 6, 4]",3,85,63,"[9, 11, 67, 52]"
15680.png,23,"[2, 3]",2,55,47,"[10, 14, 39, 39]"
15681.png,135,"[1, 3, 5]",3,76,55,"[17, 12, 56, 42]"
15682.png,1061,"[1, 0, 6, 1]",4,122,77,"[14, 14, 94, 58]"
15683.png,24,"[2, 4]",2,74,33,"[27, 9, 50, 27]"
15684.png,235,"[2, 3, 5]",3,207,132,"[0, 12, 178, 124]"
15685.png,87,"[8, 7]",2,79,34,"[30, 8, 49, 28]"
15686.png,146,"[1, 4, 6]",3,101,83,"[19, 21, 66, 70]"
15687.png,1152,"[1, 1, 5, 2]",4,172,104,"[15, 11, 140, 86]"
15688.png,58,"[5, 8]",2,101,69,"[13, 10, 76, 55]"
15689.png,429,"[4, 2, 9]",3,75,44,"[11, 3, 48, 37]"
15690.png,215,"[2, 1, 5]",3,44,40,"[4, 5, 34, 36]"
15691.png,35,"[3, 5]",2,90,49,"[28, 8, 52, 38]"
15692.png,233,"[2, 3, 3]",3,85,48,"[10, 6, 63, 42]"
15693.png,1221,"[1, 2, 2, 1]",4,226,125,"[33, 26, 158, 106]"
15694.png,35,"[3, 5]",2,163,84,"[57, 10, 106, 74]"
15695.png,86,"[8, 6]",2,83,76,"[15, 20, 60, 61]"
15696.png,236,"[2, 3, 6]",3,60,28,"[6, 1, 47, 24]"
15697.png,259,"[2, 5, 9]",3,144,71,"[10, 6, 109, 64]"
15698.png,975,"[9, 7, 5]",3,138,71,"[36, 9, 92, 61]"
15699.png,17,"[1, 7]",2,60,27,"[18, 1, 45, 25]"
15700.png,212,"[2, 1, 2]",3,55,48,"[7, 11, 42, 37]"
15701.png,232,"[2, 3, 2]",3,65,43,"[6, 6, 52, 41]"
15702.png,133,"[1, 3, 3]",3,52,36,"[5, 5, 38, 32]"
15703.png,154,"[1, 5, 4]",3,81,51,"[16, 7, 50, 47]"
15704.png,46,"[4, 6]",2,95,71,"[12, 6, 73, 64]"
15705.png,100,"[1, 0, 0]",3,94,69,"[13, 5, 64, 64]"
15706.png,36,"[3, 6]",2,93,70,"[9, 6, 71, 64]"
15707.png,267,"[2, 6, 7]",3,58,37,"[9, 3, 44, 32]"
15708.png,156,"[1, 5, 6]",3,99,50,"[16, 5, 71, 44]"
15709.png,1092,"[1, 0, 9, 2]",4,106,44,"[8, 4, 76, 40]"
15710.png,487,"[4, 8, 7]",3,87,48,"[13, 3, 65, 44]"
15711.png,41,"[4, 1]",2,50,22,"[16, 2, 38, 21]"
15712.png,29,"[2, 9]",2,91,70,"[14, 2, 71, 59]"
15713.png,301,"[3, 0, 1]",3,104,54,"[26, 16, 66, 40]"
15714.png,161,"[1, 6, 1]",3,74,50,"[19, 11, 47, 38]"
15715.png,423,"[4, 2, 3]",3,169,97,"[21, 0, 127, 83]"
15716.png,29,"[2, 9]",2,85,72,"[12, 11, 62, 55]"
15717.png,87,"[8, 7]",2,94,41,"[36, 10, 59, 33]"
15718.png,232,"[2, 3, 2]",3,66,35,"[6, 3, 49, 34]"
15719.png,580,"[5, 8, 0]",3,116,53,"[18, 3, 80, 47]"
15720.png,226,"[2, 2, 6]",3,70,40,"[8, 3, 58, 36]"
15721.png,238,"[2, 3, 8]",3,184,92,"[7, 9, 140, 84]"
15722.png,948,"[9, 4, 8]",3,180,85,"[26, 10, 137, 69]"
15723.png,126,"[1, 2, 6]",3,106,64,"[25, 14, 65, 45]"
15724.png,578,"[5, 7, 8]",3,104,62,"[9, 8, 80, 56]"
15725.png,183,"[1, 8, 3]",3,139,111,"[25, 20, 94, 86]"
15726.png,45,"[4, 5]",2,117,82,"[25, 17, 80, 66]"
15727.png,30,"[3, 0]",2,107,49,"[28, 2, 80, 49]"
15728.png,124,"[1, 2, 4]",3,83,35,"[29, 6, 58, 29]"
15729.png,200,"[2, 0, 0]",3,46,30,"[5, 6, 36, 26]"
15730.png,116,"[1, 1, 6]",3,98,44,"[34, 6, 66, 35]"
15731.png,309,"[3, 0, 9]",3,94,37,"[28, 5, 67, 34]"
15732.png,4,[4],1,49,27,"[20, 4, 30, 25]"
15733.png,360,"[3, 6, 0]",3,90,48,"[12, 7, 62, 42]"
15734.png,0,[0],1,148,56,"[79, 15, 102, 51]"
15735.png,827,"[8, 2, 7]",3,77,44,"[16, 6, 63, 30]"
15736.png,597,"[5, 9, 7]",3,70,54,"[13, 7, 51, 44]"
15737.png,39,"[3, 9]",2,90,43,"[31, 5, 67, 39]"
15738.png,79,"[7, 9]",2,252,106,"[71, 14, 165, 89]"
15739.png,4014,"[4, 0, 1, 4]",4,56,30,"[10, 4, 38, 27]"
15740.png,72,"[7, 2]",2,65,44,"[10, 2, 49, 39]"
15741.png,2,[2],1,253,104,"[136, 18, 173, 82]"
15742.png,186,"[1, 8, 6]",3,73,48,"[11, 7, 55, 39]"
15743.png,159,"[1, 5, 9]",3,117,51,"[16, 8, 86, 45]"
15744.png,27,"[2, 7]",2,118,44,"[33, 9, 60, 35]"
15745.png,46,"[4, 6]",2,188,91,"[68, 15, 124, 78]"
15746.png,590,"[5, 9, 0]",3,153,72,"[23, 2, 117, 62]"
15747.png,95,"[9, 5]",2,186,79,"[68, 10, 122, 72]"
15748.png,54,"[5, 4]",2,84,42,"[26, 2, 59, 40]"
15749.png,1015,"[1, 0, 1, 5]",4,69,28,"[7, 1, 52, 30]"
15750.png,752,"[7, 5, 2]",3,47,33,"[6, 1, 36, 25]"
15751.png,980,"[9, 8, 0]",3,149,113,"[18, 13, 113, 89]"
15752.png,93,"[9, 3]",2,67,42,"[16, 7, 48, 36]"
15753.png,21,"[2, 1]",2,137,63,"[48, 11, 92, 52]"
15754.png,471,"[4, 7, 1]",3,57,43,"[7, 6, 46, 39]"
15755.png,182,"[1, 8, 2]",3,70,51,"[13, 9, 58, 49]"
15756.png,451,"[4, 5, 1]",3,83,42,"[20, 13, 44, 29]"
15757.png,216,"[2, 1, 6]",3,113,76,"[14, 13, 75, 63]"
15758.png,43,"[4, 3]",2,70,34,"[25, 8, 47, 30]"
15759.png,43,"[4, 3]",2,97,37,"[34, 8, 65, 30]"
15760.png,11,"[1, 1]",2,72,50,"[9, 4, 39, 43]"
15761.png,370,"[3, 7, 0]",3,154,113,"[33, 18, 106, 92]"
15762.png,320,"[3, 2, 0]",3,123,100,"[16, 18, 97, 81]"
15763.png,28,"[2, 8]",2,131,103,"[22, 15, 100, 78]"
15764.png,5560,"[5, 5, 6, 0]",4,113,65,"[16, 12, 83, 47]"
15765.png,35,"[3, 5]",2,189,85,"[59, 9, 132, 79]"
15766.png,709,"[7, 0, 9]",3,119,65,"[8, 5, 93, 59]"
15767.png,201,"[2, 0, 1]",3,87,63,"[17, 18, 59, 47]"
15768.png,62,"[6, 2]",2,85,34,"[41, 7, 64, 30]"
15769.png,131,"[1, 3, 1]",3,35,22,"[2, 1, 26, 21]"
15770.png,36,"[3, 6]",2,101,41,"[44, 8, 70, 37]"
15771.png,243,"[2, 4, 3]",3,106,76,"[11, 11, 80, 64]"
15772.png,1321,"[1, 3, 2, 1]",4,56,26,"[4, 4, 45, 23]"
15773.png,33,"[3, 3]",2,48,37,"[4, 2, 39, 36]"
15774.png,10,"[1, 0]",2,103,44,"[37, 6, 66, 30]"
15775.png,368,"[3, 6, 8]",3,85,37,"[10, 2, 63, 32]"
15776.png,140,"[1, 4, 0]",3,65,47,"[13, 10, 48, 44]"
15777.png,71,"[7, 1]",2,51,49,"[6, 5, 37, 43]"
15778.png,1280,"[1, 2, 8, 0]",4,310,135,"[6, 20, 234, 118]"
15779.png,238,"[2, 3, 8]",3,141,71,"[11, 1, 114, 64]"
15780.png,543,"[5, 4, 3]",3,146,119,"[20, 18, 110, 97]"
15781.png,575,"[5, 7, 5]",3,55,27,"[5, 1, 44, 26]"
15782.png,37,"[3, 7]",2,169,115,"[31, 3, 105, 106]"
15783.png,635,"[6, 3, 5]",3,338,240,"[22, 32, 272, 201]"
15784.png,306,"[3, 0, 6]",3,63,34,"[11, 3, 47, 32]"
15785.png,5,[5],1,54,28,"[21, 4, 35, 25]"
15786.png,31,"[3, 1]",2,116,58,"[43, 7, 77, 54]"
15787.png,464,"[4, 6, 4]",3,113,52,"[11, 1, 91, 53]"
15788.png,66,"[6, 6]",2,90,63,"[21, 13, 65, 53]"
15789.png,14,"[1, 4]",2,101,54,"[28, 10, 62, 43]"
15790.png,58,"[5, 8]",2,62,49,"[9, 9, 50, 49]"
15791.png,716,"[7, 1, 6]",3,91,54,"[11, 4, 68, 50]"
15792.png,106,"[1, 0, 6]",3,72,49,"[8, 2, 51, 45]"
15793.png,34,"[3, 4]",2,123,75,"[18, 10, 80, 63]"
15794.png,297,"[2, 9, 7]",3,84,55,"[-1, 6, 66, 49]"
15795.png,17,"[1, 7]",2,133,47,"[39, 8, 98, 45]"
15796.png,2321,"[2, 3, 2, 1]",4,155,79,"[14, 15, 119, 70]"
15797.png,232,"[2, 3, 2]",3,47,21,"[7, 1, 39, 21]"
15798.png,46,"[4, 6]",2,66,40,"[18, 6, 40, 35]"
15799.png,22,"[2, 2]",2,27,15,"[1, 1, 23, 15]"
15800.png,912,"[9, 1, 2]",3,361,224,"[39, 37, 256, 184]"
15801.png,137,"[1, 3, 7]",3,75,63,"[14, 15, 61, 47]"
15802.png,168,"[1, 6, 8]",3,71,44,"[12, 4, 49, 39]"
15803.png,148,"[1, 4, 8]",3,82,47,"[13, 13, 52, 41]"
15804.png,825,"[8, 2, 5]",3,189,112,"[28, 27, 100, 80]"
15805.png,17,"[1, 7]",2,64,45,"[10, 1, 51, 43]"
15806.png,6314,"[6, 3, 1, 4]",4,57,31,"[7, 2, 42, 28]"
15807.png,9,[9],1,154,70,"[20, 16, 50, 61]"
15808.png,15,"[1, 5]",2,106,43,"[45, 14, 65, 35]"
15809.png,238,"[2, 3, 8]",3,180,105,"[17, 9, 123, 100]"
15810.png,65,"[6, 5]",2,39,30,"[5, 1, 30, 28]"
15811.png,5032,"[5, 0, 3, 2]",4,178,82,"[26, 14, 132, 65]"
15812.png,15,"[1, 5]",2,45,41,"[6, 7, 30, 34]"
15813.png,24,"[2, 4]",2,135,72,"[40, 16, 75, 55]"
15814.png,92,"[9, 2]",2,78,48,"[13, 2, 58, 47]"
15815.png,1677,"[1, 6, 7, 7]",4,58,43,"[4, 1, 45, 39]"
15816.png,47,"[4, 7]",2,183,83,"[68, 13, 101, 72]"
15817.png,87,"[8, 7]",2,131,111,"[20, 10, 94, 100]"
15818.png,13,"[1, 3]",2,269,134,"[100, 24, 168, 113]"
15819.png,58,"[5, 8]",2,92,74,"[11, 10, 68, 66]"
15820.png,82,"[8, 2]",2,162,100,"[44, 2, 118, 73]"
15821.png,43,"[4, 3]",2,136,56,"[49, 11, 89, 47]"
15822.png,3,[3],1,106,57,"[42, 9, 62, 49]"
15823.png,63,"[6, 3]",2,262,135,"[98, 20, 164, 104]"
15824.png,222,"[2, 2, 2]",3,178,92,"[5, 1, 167, 88]"
15825.png,167,"[1, 6, 7]",3,101,76,"[19, 7, 72, 66]"
